"",GSM630684.Signal,GSM630685.Signal,GSM630701.Signal,GSM630703.Signal,GSM630706.Signal,GSM630716.Signal
100,10.1437565175758,10.5495902638147,9.35282131253597,10.8871317625814,9.99158949953267,8.69076949285925
1000,4.78062209277344,5.04158082565884,5.15899948732449,5.53925431466127,5.34500583498913,5.19417702434913
10000,5.4356097122351,4.53440251761114,5.06621812319404,4.3177697181742,4.51109484183413,5.81223428072771
100008588,6.4354108068437,7.31303104934876,6.93023223506279,6.61932864564953,7.45713395674773,7.89012424120491
100008589,9.4383007309208,9.81861597685334,8.37356631511903,10.1680645445877,10.0563870017134,8.9834565950696
10001,9.58411922137275,9.76893171136422,9.69169058276632,9.90853338903159,9.60398859090775,9.92880580837539
10003,4.48761979536015,4.60917828566061,4.73795058532502,4.65048990983738,4.51937482151827,5.49662451884536
10004,6.99064527545818,6.57054470790199,6.6773594315631,5.52200750680811,7.18466732543683,7.17732125208307
10005,6.19745076286693,6.42087190902918,5.71644031475658,6.24129902081018,5.95036581630772,4.81235911236699
10006,8.06966765146561,8.05922829604394,8.32688561979706,8.00961397806932,8.35826902036586,8.04952616097733
10007,8.67136163067873,7.68995911950823,9.31936346786773,7.79909857067694,8.69769131917966,9.40726253528531
10009,9.75533280264997,9.58411922137275,10.015287186784,9.61260865798635,9.90795042029146,9.89858827135565
10010,6.51959448894123,5.89186775236823,6.40077945167351,6.09630769591753,6.84905072853312,5.53241977877511
10011,6.334413470055,6.11834184605256,6.20057655617805,6.52591297586589,6.5336464649892,6.09792745417047
100128239,4.74951433114249,4.63014627469709,4.6253711325246,4.49719205099757,4.7519310426205,5.4612597606649
100128420,6.71459537244739,5.10502224423676,7.50972003186794,4.41056448980108,6.26376913553196,5.72796730106846
100128731,10.6029526107593,10.5267765252197,10.7325234803142,10.490154949276,10.503382550266,11.0469374421914
100128782,5.58740618355779,5.20114043252912,4.97602901439195,4.72858370990396,5.0566408812755,4.85993961729336
100128822,4.82797164532325,4.5686081762409,4.73279986166258,4.82945604854398,5.09339977607794,5.00105968804754
100129075,4.70294443310681,4.76060812233405,4.87921005277431,4.49696283310228,4.67961961209348,5.58977961040161
100129269,6.86965331624157,6.59446383765653,6.80735181782194,6.36702722565105,6.87604307964532,7.00067708884891
100129520,4.61890215445221,4.93551457570655,4.41500910326601,4.93955270430353,4.7048118595825,4.39298525494295
100129726,4.55087379545826,4.42210991919071,4.60123310268225,4.41293493896515,4.46104150699242,5.03123131239269
100129917,6.1159303607976,5.96201784021539,5.55669462454263,6.4030284296148,6.10518020126158,5.58572314912143
10013,7.56252360030118,7.57577133764644,7.29348810131428,7.49331032911605,7.32613827313123,7.39299300413124
100130311,4.63798343675079,4.37829987854417,4.28566923718339,4.93551457570655,4.71187797250632,4.36026129141244
