EntrezID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
4753	NELL2	-1.81612879565356	10.5599633591039	-9.56890377052333	1.36754144531011e-06	0.00654716075018746	5.46461019415319
5800	PTPRO	-1.528200917935	9.99606471717704	-9.25694722092415	1.88475844401035e-06	0.00654716075018746	5.20201802174389
23174	ZCCHC14	-0.915249591222829	5.99799330700742	-9.08987425655374	2.24602427107631e-06	0.00654716075018746	5.05695380815095
687	KLF9	-1.13363069127657	8.19363012814959	-8.69126729935639	3.4487528861778e-06	0.00655084239814458	4.69784976764378
10964	IFI44L	3.93067969028063	8.03103720160441	8.616135468753	3.74547878681794e-06	0.00655084239814458	4.62804839287014
8303	SNN	-1.75467328789141	9.3615493688	-8.39481484267859	4.79192457769081e-06	0.00698423007198436	4.41840394476641
9636	ISG15	2.25181187300356	10.4942314593338	7.92782344055275	8.19331372144216e-06	0.0102357897848588	3.95562944854436
64919	BCL11B	-1.05750535425384	10.1926723399834	-7.5388409689064	1.30411292041458e-05	0.0142555843612819	3.54797871219263
960	CD44	-0.853288217038568	9.31275368691362	-7.25047158409407	1.86121432400374e-05	0.0167789239791812	3.23211578118117
4306	NR3C2	-1.44755471283817	7.66092100312121	-7.22617882048356	1.91868770488064e-05	0.0167789239791812	3.20496084578813
1890	TYMP	1.44698573066668	6.06623038394799	7.14849854474166	2.11565480178703e-05	0.0168194556742069	3.11755017398379
55819	RNF130	-1.06079298585806	7.66900225480048	-7.05735833694951	2.37488501180262e-05	0.0173069745235116	3.01386248188835
8204	NRIP1	-1.69527556126403	7.83118854480259	-6.98315500971738	2.61118131049464e-05	0.0175652158155966	2.92853341948286
8761	PABPC4	-0.945947633080261	9.37790843437989	-6.82317106263278	3.21114204376172e-05	0.0200581694090687	2.74175095523279
6856	SYPL1	-1.08720255995314	8.75336184697032	-6.75429635161625	3.51364383538133e-05	0.0200847921083731	2.6601441315086
1117	CHI3L2	1.39860671077354	7.58520182119347	6.67432347125607	3.9037670574139e-05	0.0200847921083731	2.56447577452876
9695	EDEM1	-0.682423161513132	8.76632064691445	-6.67419706912315	3.9044192777855e-05	0.0200847921083731	2.56432378551602
282997	PDCD4-AS1	-0.973308276586684	7.72976200284321	-6.55945811807479	4.54761077699174e-05	0.0215502190532753	2.42533843737988
65982	ZSCAN18	-1.30877567982517	7.86507667824401	-6.45916529577258	5.20329865426166e-05	0.0215502190532753	2.30217145560107
408	ARRB1	-0.792242083972247	8.30573016233321	-6.42145631093472	5.47545497582748e-05	0.0215502190532753	2.25545359684569
4599	MX1	2.04034704303408	10.097272915786	6.39585520911741	5.66889790652366e-05	0.0215502190532753	2.22360847330854
1718	DHCR24	0.669357794148121	6.7627277834802	6.38907528916881	5.72134492836142e-05	0.0215502190532753	2.21515761311852
10561	IFI44	2.7832389057795	8.54398044147413	6.37592040996179	5.82459534053287e-05	0.0215502190532753	2.19873991958522
6146	RPL22	-0.653126746027237	11.3147890085589	-6.32667761427261	6.22917829914393e-05	0.0215502190532753	2.13703997906617
5243	ABCB1	-0.736412202391369	6.65124607630832	-6.31604181582055	6.32045555314241e-05	0.0215502190532753	2.12366305492628
4616	GADD45B	-0.855512279272984	9.78927807113789	-6.30096348784394	6.45232229381824e-05	0.0215502190532753	2.10466781426165
1831	TSC22D3	-1.05927809380244	10.0467990490013	-6.2785750110596	6.65358392725482e-05	0.0215502190532753	2.07639668299979
29107	NXT1	-0.61432416970592	9.38028382145741	-6.21585498652392	7.25405396439533e-05	0.0220854861940534	1.99677078693068
56271	BEX4	-1.15846313116128	8.33622894282655	-6.20891814002616	7.32394625074383e-05	0.0220854861940534	1.98792550838663
113791	PIK3IP1	-1.23589988437879	9.89011676943284	-6.16420324546514	7.79212990418086e-05	0.0225661591894542	1.9307237057771
23078	VWA8	-0.671122417318022	8.04343517778941	-6.14531416244112	7.99943893508381e-05	0.0225661591894542	1.90646326731832
7050	TGIF1	-1.15235098985254	7.43372017216523	-6.09661870724853	8.56157720710512e-05	0.023397185211292	1.84365577050364
9240	PNMA1	-0.854674772989398	8.38470362875022	-5.91056260900601	0.000111311482138221	0.0294975427666286	1.60014841549495
952	CD38	1.0685220024119	7.38638094922164	5.85605434125563	0.000120316682160818	0.0308177901850724	1.52774339758151
6001	RGS10	-0.707854023275054	10.3949845240847	-5.83871667022636	0.000123341641678392	0.0308177901850724	1.50461164718441
23522	KAT6B	-0.77707371079137	9.04304722831185	-5.79857597894179	0.000130661143445128	0.030943636981033	1.45086791765161
3241	HPCAL1	-0.746791851160388	7.01675413448689	-5.78695801322166	0.000132865133068901	0.030943636981033	1.43526366586191
79718	TBL1XR1	-0.930807826981495	6.24631270936163	-5.77867522305708	0.000134460629534506	0.030943636981033	1.42412545562713
51614	ERGIC3	-0.783016668329878	9.45525246783632	-5.75548834235584	0.000139036767803782	0.0311763213960018	1.39288540463073
87	ACTN1	-1.71158185861056	8.68419079156776	-5.73325251930858	0.000143581550240811	0.0313905164213972	1.36284406139296
1939	EIF2D	-0.763334148459828	9.07716556853399	-5.70947590884698	0.000148617097972172	0.031698939555284	1.33063146827743
50854	SNHG32	-0.733253590095758	10.7860418024639	-5.62498605082814	0.000168090583275008	0.0349988607319036	1.21541467103573
23228	PLCL2	-0.953658773147994	7.80790977019121	-5.59020981365933	0.000176880621690892	0.0359725822485314	1.1676509255002
1647	GADD45A	-1.39645727207079	10.5333887391218	-5.54107793553159	0.000190143477613995	0.0366513547539658	1.09983194024804
