EntrezID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
6572	SLC18A3	-2.69175953997187	8.33191959430206	-13.1235491938925	8.8074250452634e-23	6.26295994968681e-19	41.1776042296381
92521	SPECC1	-2.31151312895727	8.12007195165072	-11.8672423267579	3.05660348860592e-20	1.08677537037383e-16	35.4924798871092
6006	RHCE	-2.23394739481541	9.97421415681485	-11.0659305146193	1.37507334065565e-18	3.25938217513411e-15	31.7852055869484
56137	PCDHA12	-1.85139691303864	8.84412864151567	-10.8646800620217	3.60359437297042e-18	6.40628989654817e-15	30.846089209246
693235	MIR92B	-2.74540297269148	8.56373678713653	-10.6883625470598	8.3986527744188e-18	1.19445639757784e-14	30.0210798194561
642852	LINC00205	-2.28046841100031	10.0874993054444	-10.4370715520997	2.81339130544516e-17	2.8849304476461e-14	28.8420453915881
347733	TUBB2B	-1.78381298020765	7.76422209759957	-10.4351248695008	2.83989778280449e-17	2.8849304476461e-14	28.8328983068233
2852	GPER1	-1.87449678566677	9.49078358745732	-10.3486047674076	4.30907532277719e-17	3.56903948522362e-14	28.4261656271054
91156	IGFN1	-1.95275759559808	9.24774392813547	-10.3388242981587	4.51713617873893e-17	3.56903948522362e-14	28.3801645147983
79692	ZNF322	-2.2611763596681	8.36715544374588	-10.2636549320859	6.49109011976191e-17	4.6158141841627e-14	28.026467571063
9929	JOSD1	1.25217599926814	5.59842491494569	10.2084837913665	8.47122465136536e-17	5.47626168144173e-14	27.7667092954975
113201	GOLM2	-1.84804779707831	8.82056324619824	-9.94045475464346	3.09279065421829e-16	1.83273619517885e-13	26.5030934780763
2487	FRZB	-1.48788832314838	7.30197884625478	-9.90286019263214	3.70945868804775e-16	2.02907390236212e-13	26.3256638812975
81894	SLC25A28	1.29430768499829	5.82846440228609	9.78021572443497	6.71434313211974e-16	3.39137640286506e-13	25.7465753924296
10407	SPAG11B	-2.53513614044486	8.73795113333916	-9.76711577652345	7.15379637786189e-16	3.39137640286506e-13	25.6847004240695
2867	FFAR2	-1.50515681926063	9.18134150152977	-9.73882688242394	8.20347821586288e-16	3.5200490799642e-13	25.55107117575
2562	GABRB3	-1.60130892147226	10.1531962691652	-9.73356114781752	8.41524882005224e-16	3.5200490799642e-13	25.5261954442226
51366	UBR5	-2.19019570245185	8.18882293202321	-9.71865823864784	9.04471778910081e-16	3.57316601101644e-13	25.4557900339285
84931	LINC01101	-1.81041183581622	8.77585824456596	-9.62524309007806	1.42167775496483e-15	5.32081606081836e-13	25.014382390641
3491	CCN1	-1.89323388956964	9.36655080991888	-9.58332590721772	1.741600414151e-15	6.19226027251389e-13	24.8162716505846
692075	SNORD6	0.892514523631186	5.50877612310914	9.56141695977205	1.93652846409335e-15	6.55745424198468e-13	24.7127160741355
55277	FGGY	-1.77758500898728	9.36313214000586	-9.52327932053355	2.32934172403012e-15	7.41963637810856e-13	24.5324413925818
79825	EFCC1	-1.78284267839846	8.15791588637879	-9.51708746682127	2.4002478347249e-15	7.41963637810856e-13	24.5031715358499
120224	TMEM45B	-1.91261399846377	9.57014650634028	-9.50833572715297	2.50416640521172e-15	7.41963637810856e-13	24.4618001521319
337973	KRTAP19-6	-1.33105791643564	10.2485215161938	-9.47423415541043	2.95385535248419e-15	8.40194616460603e-13	24.3005891064238
51233	DRICH1	-1.98622972351559	8.1825140847634	-9.46291949770242	3.12023983737013e-15	8.53385595520731e-13	24.2470987611365
7037	TFRC	1.10969714789257	6.13642569985291	9.43062957584915	3.64843253818081e-15	9.6088902885199e-13	24.0944437082638
29888	STRN4	-1.90065953330525	8.01621778236374	-9.40564427969907	4.11775942673103e-15	1.01422388990649e-12	23.9763195322346
2192	FBLN1	-2.58557923536467	8.91560782872372	-9.40472188932654	4.1361964290941e-15	1.01422388990649e-12	23.9719586702292
90850	ZNF598	-2.25163006630282	9.00851032375526	-9.36034721490482	5.12790999325303e-15	1.21548559873408e-12	23.7621633475974
284207	METRNL	-2.286547542798	8.69814235797409	-9.21010158956279	1.06157863534725e-14	2.43512441159817e-12	23.051862258719
43849	KLK12	-1.86065601645655	9.22303373894779	-9.18728570641429	1.18559060515272e-14	2.63460462288782e-12	22.9440105704051
692058	SNORD11	0.853053282207583	5.58469684175143	9.16965169419762	1.2912728902382e-14	2.68125635189351e-12	22.8606574326477
4597	MVD	1.27952580829052	5.71209322185982	9.16926125198411	1.29371642732338e-14	2.68125635189351e-12	22.8588119136851
84809	CROCCP2	-1.58243874844286	9.3402875108625	-9.16515422172724	1.31970148103323e-14	2.68125635189351e-12	22.8393991533102
8887	TAX1BP1	1.65504742164268	5.94596884671641	9.12449092025136	1.6068707367805e-14	3.17401605812393e-12	22.6472065217827
51132	RLIM	-1.49305194838363	10.3547745644382	-9.10563782099779	1.76043966111477e-14	3.38337471086138e-12	22.5581061070742
54934	KANSL2	1.32554541827254	5.8532811665427	9.04411720432804	2.37113336044439e-14	4.22910583037546e-12	22.2673971317392
3191	HNRNPL	1.35663961980839	5.75730521363947	9.04372348799078	2.37565623558095e-14	4.22910583037546e-12	22.265536883623
85363	TRIM5	-2.3470349060276	8.76286698514578	-9.04344078017172	2.37890920004245e-14	4.22910583037546e-12	22.2642011352072
9923	ZBTB40	-1.47622532985634	8.9455951221953	-9.0127030545542	2.76049111725277e-14	4.78776886214254e-12	22.1189797394781
57472	CNOT6	-2.33256936243498	8.96385561027007	-8.92965621729842	4.12572356602672e-14	6.98524292333715e-12	21.7267261906644
